BinLocation,BuydownPrice,BuydownQuantity,CommissionAmount,CommissionMaximum,CommissionMode,CommissionPercentProfit,CommissionPercentSale,Description,FoodStampable,HQID,ItemNotDiscountable,LastReceived,LastUpdated,Notes,QuantityCommitted,SerialNumberCount,TareWeightPercent,ID,ItemLookupCode,DepartmentID,CategoryID,MessageID,Price,PriceA,PriceB,PriceC,SalePrice,SaleStartDate,SaleEndDate,QuantityDiscountID,TaxID,ItemType,Cost,Quantity,ReorderPoint,RestockLevel,TareWeight,SupplierID,TagAlongItem,TagAlongQuantity,ParentItem,ParentQuantity,BarcodeFormat,PriceLowerBound,PriceUpperBound,PictureName,LastSold,ExtendedDescription,SubDescription1,SubDescription2,SubDescription3,UnitOfMeasure,SubCategoryID,QuantityEntryNotAllowed,PriceMustBeEntered,BlockSalesReason,BlockSalesAfterDate,Weight,Taxable,DBTimeStamp,BlockSalesBeforeDate,LastCost,ReplacementCost,WebItem,BlockSalesType,BlockSalesScheduleID,SaleType,SaleScheduleID,Consignment,Inactive,LastCounted,DoNotOrder,MSRP,DateCreated,Content,UsuallyShip,NumberFormat,ItemCannotBeRet,ItemCannotBeSold,IsAutogenerated,IsGlobalvoucher,DeleteZeroBalanceEntry,TenderID
,0.00,0,0.00,0.00,1,0,0,Nasutra 2 Caps ,0,6617,0,NULL,2007-07-06 12:34:31.000,NULL,0,0,0,6617,858153000411,71,184,0,11.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,6.00,178,0,0,0,0,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x0000000001116AD4,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,POLAR S725 HRM,0,6308,0,NULL,2009-11-30 15:53:17.000,NULL,0,0,0,6308,725882238616,133,205,0,249.99,0.00,0.00,0.00,0.00,NULL,NULL,0,1,0,205.00,0,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112E9D2,NULL,205.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,POLAR RS100/HRM Tan,0,6737,0,NULL,2009-10-20 12:51:01.000,NULL,0,0,0,6737,725882258973,133,205,0,80.99,0.00,0.00,0.00,0.00,NULL,NULL,0,1,0,61.00,0,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112E9D6,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Super Charge 12pak Fruit Punch,0,7448,0,NULL,2013-02-07 18:47:50.000,NULL,0,0,0,7448,710779444645,1,17,0,22.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,0.00,5,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112ED16,NULL,0.00,0.00,0,0,0,0,0,0,1,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,IsoPower V-60 3.5LB Vanilla,0,7606,0,NULL,2013-02-07 18:51:52.000,,0,0,0,7606,710779560208,1,4,0,45.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,31.31,104,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112ED17,NULL,31.31,0.00,0,0,0,0,0,0,1,NULL,0,0.00,2007-05-15 17:09:34.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,IsoPower V-60 3.5LB Choco,0,7607,0,NULL,2013-02-07 18:52:01.000,,0,0,0,7607,710779560215,1,4,0,45.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,31.31,38,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112ED18,NULL,31.31,0.00,0,0,0,0,0,0,1,NULL,0,0.00,2007-05-15 17:09:55.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Lab Xhilar8 60ct,0,8397,0,NULL,2013-02-07 18:09:44.000,NULL,0,0,0,8397,710779100060,1,2,0,19.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,16.79,49,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000112ED1B,NULL,16.79,0.00,0,0,0,0,0,0,1,NULL,0,0.00,2008-11-13 13:34:57.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,Micellar Plus  3 lbs Vanilla,0,7490,0,NULL,2013-09-19 18:22:27.593,,0,0,0,7490,089094022198,6,13,0,30.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,24.30,0,0,0,0,76,0,0,0,0,0,0.00,0.00,,NULL,Isopure,,,,,0,0,0,,NULL,0,1,0x000000000134EEDA,NULL,24.30,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-02-22 18:34:27.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,Micellar Plus  3 lbs Dutch Cho,0,7491,0,NULL,2013-09-19 18:22:27.603,,0,0,0,7491,089094022211,6,13,0,30.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,24.30,0,0,0,0,76,0,0,0,0,0,0.00,0.00,,NULL,Isopure,,,,,0,0,0,,NULL,0,1,0x000000000134EEDB,NULL,24.30,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-02-22 18:34:55.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,Micellar Plus 3 lbs Strauberry,0,7492,0,NULL,2013-09-19 18:22:27.617,,0,0,0,7492,089094022235,6,13,0,30.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,24.30,0,0,0,0,76,0,0,0,0,0,0.00,0.00,,NULL,Isopure,,,,,0,0,0,,NULL,0,1,0x000000000134EEDC,NULL,24.30,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-02-22 18:35:24.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Gaspari HaloDrol-50/60gels,0,6885,0,NULL,2013-09-19 18:22:27.770,NULL,0,0,0,6885,646511007178,135,206,0,49.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,40.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,NULL,Muscle Hypertrophic Development Agent,,,,,0,0,0,,NULL,0,1,0x000000000134EEE1,NULL,40.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,ProMagnon/25m/60tabs,0,7193,0,NULL,2013-09-19 18:22:27.857,NULL,0,0,0,7193,094922537690,135,206,0,68.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,43.50,259,0,0,0,0,0,0,0,0,0,0.00,0.00,,NULL,Muscle Hypertrophic Development Agent,,,,,0,0,0,,NULL,0,1,0x000000000134EEE2,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Lean Body Cookie Bar Smores,0,6795,0,NULL,2013-09-19 18:22:28.930,NULL,0,0,0,6795,710779115620,1,5,0,1.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.39,2621,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF27,NULL,1.39,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Labrada Honey Almond Prot Bar,0,6944,0,NULL,2013-09-19 18:22:28.940,NULL,0,0,0,6944,710779115637,1,5,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,0.00,1861,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF28,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,0,0,0,Lean Body BAR Granola CH/PB,0,7468,0,NULL,2013-09-19 18:22:28.953,,0,0,0,7468,710779115804,1,5,0,1.99,0.00,0.00,0.00,0.00,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,0,0,1.39,793,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF29,NULL,1.39,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-30 20:08:13.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Lean Body LC 20 Chocolate/PB,0,7361,0,NULL,2013-09-19 18:22:29.040,NULL,0,0,0,7361,710779112711,1,1,0,42.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,37.20,780,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF2E,NULL,31.16,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Labrada Rockin' Roll Prot Bar,0,6680,0,NULL,2013-09-19 18:22:29.050,NULL,0,0,0,6680,710779115590,1,5,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.26,3251,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF2F,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Lean Body Cookie Roll Brownie,0,8873,0,NULL,2013-09-19 18:22:29.063,NULL,0,0,0,8873,710779115903,1,5,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.39,1052,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF30,NULL,1.39,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2009-10-28 13:41:52.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Lean Body Cookie Roll Cinn,0,8954,0,NULL,2013-09-19 18:22:29.077,NULL,0,0,0,8954,710779115910,1,5,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.39,3060,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF31,NULL,1.39,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2009-12-18 16:40:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Carb Rite Bar Cookie Dough,0,8246,0,NULL,2013-09-19 18:22:29.157,NULL,0,0,0,8246,039442081865,16,53,0,1.75,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,0.99,2443,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF35,NULL,0.00,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2008-07-10 15:33:56.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Redline RTD 8oz Triple Berry,0,6266,0,NULL,2013-09-19 18:22:30.153,NULL,0,0,0,6266,610764384508,39,118,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.79,34958,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF68,NULL,1.79,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,RedlineX  RTD 8oz 3Berry,0,7549,0,NULL,2013-09-19 18:22:30.177,NULL,0,0,0,7549,610764389008,39,118,0,2.30,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.65,6328,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6A,NULL,1.65,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-04-14 13:07:09.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,RedlineX  RTD 8oz Grape,0,7645,0,NULL,2013-09-19 18:22:30.190,NULL,0,0,0,7645,610764389039,39,118,0,2.30,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.65,3914,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6B,NULL,1.65,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-06-05 15:50:47.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,RedlineX  RTD 8oz Apple,0,7956,0,NULL,2013-09-19 18:22:30.203,NULL,0,0,0,7956,610764389060,39,118,0,2.30,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.65,1747,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6C,NULL,1.65,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-11-14 12:08:27.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,RedlineX  RTD 8oz Watermelon,0,8457,0,NULL,2013-09-19 18:22:30.217,NULL,0,0,0,8457,610764389091,39,118,0,2.30,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.65,3228,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6D,NULL,1.65,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2008-12-29 16:11:24.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,Zero Impact Bar CH/Pb,0,7107,0,NULL,2013-09-19 18:22:30.237,NULL,0,0,0,7107,610764825261,39,120,0,2.00,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,1.29,5988,0,0,0,101,0,0,14844,12,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6E,NULL,1.29,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,MuscleMilk 5lbs Vanilla,0,7214,0,NULL,2013-09-19 18:22:30.260,NULL,0,0,0,7214,660726503164,74,171,0,48.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,44.13,912,0,0,0,101,0,0,0,0,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF6F,NULL,38.52,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
,0.00,0,0.00,0.00,1,0,0,MuscleMilk RTD Banana,0,6544,0,NULL,2013-09-19 18:22:30.293,NULL,0,0,0,6544,180530000531,74,192,0,2.99,0.00,0.00,0.00,0.00,NULL,NULL,0,0,0,2.44,9367,0,0,0,101,0,0,14804,12,0,0.00,0.00,,NULL,,,,,,0,0,0,,NULL,0,1,0x000000000134EF71,NULL,2.44,0.00,0,0,0,0,0,0,0,NULL,0,0.00,2007-01-19 18:23:26.000,,,NULL,NULL,NULL,NULL,0,NULL,0
